37,37,40,37,33,35,37,38,37,35,33,33,35,37,37,35,35,33,33,33,37,35,37,33,30,32,33,35,37,33,33,33,35,37,37,35,35,33,33,33
21,28,28,21,21,30,21,30,21,27,21,33,30,21,21,30,30,21,33,21,21,30,21,21,30,20,33,30,21,21,33,21,30,21,21,27,30,21,30,21
16,19,25,21,21,18,21,18,21,18,21,25,18,21,21,18,23,13,21,13,21,18,21,21,23,20,25,18,21,21,25,21,18,21,21,18,23,13,21,13
9,13,21,21,9,15,9,11,9,11,21,13,18,21,9,11,18,13,9,13,9,11,9,21,11,20,13,18,21,9,25,9,14,9,16,6,18,13,9,13
0,3,0,8,6,2,8,1,8,2,6,0,2,8,0,2,1,0,6,0,8,2,8,6,2,5,0,2,8,6,0,6,1,8,0,2,1,0,6,0
