36,35,33,31,31,33,35,36,38,36,35,33,35,33,33,31,36,35,36,38,38,40,38,38,31,33,35,36,40,38,38,36
31,31,33,31,31,29,26,31,35,31,31,33,31,28,26,26,28,31,31,35,35,33,33,31,31,24,31,31,33,33,31,31
28,26,26,26,24,24,26,24,31,24,26,26,26,21,17,19,19,26,24,31,31,24,21,23,24,24,26,24,24,26,26,28
12,19,17,11,16,17,19,16,19,16,19,17,19,12,14,11,12,19,16,19,19,9,5,7,16,17,19,16,9,17,11,12
I,V,ii,V,I,IV,V,I,V,I,V,ii,V,vi,ii,V,I,V,I,V,V,vi,ii,V,I,IV,V,I,vi,ii,V,I
