25,28,32,32,33,37,32,32,30,30,28,28,26,26,25,25
20,20,25,27,30,28,25,23,25,21,20,20,21,21,21,20
16,20,13,20,26,21,16,23,21,21,20,20,21,21,16,16
13,13,4,11,14,21,13,16,6,15,13,11,6,18,9,13
i,i,i,v,bII,bVI,i,bIII,iv,ii_dim,i,bIII,bII,bII,bVI,i
