25,28,32,32,33,37,32,32,30,30,28,28,26,26,25,25
20,20,29,27,30,30,27,24,24,18,28,28,18,21,17,20
16,16,25,24,27,21,20,15,18,15,21,25,14,18,13,17
13,11,13,15,21,13,12,8,15,12,13,21,9,14,8,13
i,bIII,I,V,ii_dim,iv,V,V,vii_dim,vii_dim,bVI,bVI,bII,bII,I,I
