soft_constraints,weight
chord progression,4
chord repetition,1
chord bass repetition,1
leap resolution,1
melodic movement,1
note repetition,1
parallel movement,1
voice overlap,1
adjacent bar chords,1
chord spacing,1
distinct notes,1
voice crossing,1
voice range,1
