soft_constraints,weight
chord progression,0.2
chord repetition,0.05
chord bass repetition,0.05
leap resolution,0.05
melodic movement,0.05
note repetition,0.05
parallel movement,0.05
voice overlap,0.05
adjacent bar chords,0.05
chord spacing,0.05
distinct notes,0.05
incomplete chord,0.05
voice crossing,0.05
voice range,0.05
second inversion,0.05
first inversion,0.05
chord distribution,0.05
