soft_constraint,weight
chord progression,58
chord repetition,4
chord bass repetition,-1
leap resolution,6
melodic movement,-1
note repetition,5
parallel movement,-1
voice overlap,3
adjacent bar chords,-1
chord spacing,-1
distinct notes,9
incomplete chord,-1
voice crossing,-1
voice range,1
second inversion,13
first inversion,1
chord distribution,-1
