Title,"Ach Gott und Herr, wie gross und schwer (part)"
Meter,4
Key,0
Tonality,major
First_On_Beat,2
Soprano,"36, 35, 36, 38, 38, 40, 38, 38, 31, 33, 35, 36, 40, 38, 38, 36"
Alto,"31, 29, 31, 31, 31, 31, 30, 31, 31, 26, 26, 24, 24, 31, 31, 28"
Tenor,"24, 26, 28, 23, 23, 24, 24, 23, 24, 24, 23, 28, 31, 24, 23, 19"
Bass,"16, 14, 12, 19, 19, 24, 21, 19, 16, 18, 20, 21, 19, 19, 7, 12"
Chords,"I', 'vii_dim', 'I', 'V', 'V', 'I', 'II', 'V', 'I', 'II', 'III', 'vi', 'I', 'V', 'V', 'I'"
