Index,Name,Notes
0,I,"0,4,7"
1,ii,"2,5,9"
2,II,"2,6,9"
3,iii_dim,"4,7,10"
4,iii,"4,7,11"
5,III,"4,8,11"
6,IV,"5,9,0"
7,V,"7,11,2"
8,vi,"9,0,4"
9,VI,"9,1,4"
10,vii_dim,"11,2,5"
11,vii,"11,2,6"
12,VII,"11,3,6"
