Index,Name,Notes
0,i,"0,3,7"
1,I,"0,4,7"
2,ii,"2,5,9"
3,II,"2,6,9"
4,iii,"4,7,11"
5,III,"4,8,11"
6,iv,"5,8,0"
7,IV,"5,9,0"
8,v,"7,10,2"
9,V,"7,11,2"
10,vi,"9,0,4"
11,VI,"9,1,4"
12,vii_dim,"11,2,5"
13,vii,"11,2,6"
14,VII,"11,3,6"
