,Chord_2,,,,,,,,,,,
Chord_1,I,ii,II,iii,III,IV,V,vi,VI,vii_dim,vii,VII
I,0,,,,,,,,,,,
ii,,0,,,,,,,,,,
II,,,0,,,,,,,,,
iii,,,,0,,,,,,,,
III,,,,,0,,,,,,,
IV,,,,,,0,,,,,,
V,,,,,,,0,,,,,
vi,,,,,,,,0,,,,
VI,,,,,,,,,0,,,
vii_dim,,,,,,,,,,0,,
vii,,,,,,,,,,,0,
VII,,,,,,,,,,,,0
