37,37,40,37,33,35,37,38,37,35,33,33,35,37,37,35,35,33,33,33
33,33,35,33,33,32,33,33,33,32,33,33,35,33,33,35,35,33,30,28
28,28,28,28,26,28,28,26,28,28,28,30,28,28,28,32,32,28,26,25
21,21,20,21,18,16,21,18,21,16,13,14,20,21,21,16,16,13,14,9
I,I,V,I,IV,V,I,IV,I,V,I,IV,V,I,I,V,V,I,IV,I
