40,40,41,43,43,41,40,38,36,36,38,40,38,36,36,36
28,33,26,31,36,33,28,23,28,28,23,24,26,28,33,24
19,21,21,26,28,24,19,19,24,19,14,19,19,24,21,19
19,13,14,26,24,17,19,7,21,12,5,7,19,19,17,16
0,9,1,7,0,6,0,7,8,0,10,0,7,0,6,0
