37,37,40,37,33,35,37,38,37,35,33,33,35,37,37,35,35,33,33,33
33,28,32,21,21,27,28,32,29,35,21,25,30,28,21,30,20,33,30,28
28,16,23,21,18,20,20,26,17,26,18,18,26,20,18,26,16,25,18,25
16,7,11,13,14,8,16,23,8,14,14,13,14,13,6,23,11,13,14,13
0,3,7,8,6,11,4,10,5,1,6,8,1,4,8,1,7,8,6,0
